,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content
0,0,"{'id': 'reuters', 'name': 'Reuters'}",,IBM reports highest annual revenue growth in a decade - Reuters,"IBM Corp <a href=""https://www.reuters.com/companies/IBM.N"" target=""_blank"">(IBM.N)</a> on Wednesday reported its highest annual revenue growth in a decade and beat Wall Street expectations for the fourth quarter as more businesses looked to optimize their opeâ€¦",https://www.reuters.com/technology/ibm-reports-highest-annual-revenue-growth-decade-2023-01-25/,https://www.reuters.com/resizer/FjOhONjPelMPMz2G2iwePY3qi3I=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TUAIZHXW2FJZNPWCWUMZXNFFKY.jpg,2023-01-25T21:12:00Z,Jan 25 (Reuters) - IBM Corp (IBM.N) on Wednesday reported its highest annual revenue growth in a decade and beat Wall Street expectations for the fourth quarter as more businesses looked to optimize â€¦ [+2323 chars]
1,1,"{'id': 'business-insider', 'name': 'Business Insider'}",insider@insider.com (Yanet Borrego),I was a career coach on the side for years before quitting my 6-figure consulting job to do it full time. Here are 3 steps I took to make the transition.,Yanet Borrego spent nine years as an engineer and consultant before going all in on her business. She used her corporate jobs to prepare.,https://www.businessinsider.com/quit-6-figure-consulting-job-accenture-exxonmobil-career-coach-2023-1,https://i.insider.com/63c98aeceee94d001a78fbc5?width=1200&format=jpeg,2023-01-23T18:55:16Z,I spent seven years at ExxonMobil and two years at Accenture before quitting my corporate career in 2021 to pursue my passion and become a full-time career coach. Even though the actual transition toâ€¦ [+6560 chars]
2,2,"{'id': 'business-insider', 'name': 'Business Insider'}",amok@insider.com (Aaron Mok),How people are making money on Canva and turning their graphic-design side hustles into full-time gigs,Workers are leaving their full-time jobs to start Canva product businesses. Some are taking massive pay cuts to reclaim ownership over their time.,https://www.businessinsider.com/workers-leaving-high-paying-jobs-canva-side-hustle-2022-10,https://i.insider.com/63612637ade71a00193dc7db?width=1200&format=jpeg,2023-01-28T14:08:25Z,"After a tech startup fired 31-year-old Shruti Pangtey from her product marketing manager gig, she took the opportunity to start her own digital-products business and she said she has no regrets.
Herâ€¦ [+5096 chars]"
3,3,"{'id': None, 'name': 'VentureBeat'}",Dean Takahashi,Consumer and business interest in the metaverse is growing | Accenture,"Consumers and businesses are getting more interested in the metaverse, according to a report by Accenture.",https://venturebeat.com/games/consumer-and-business-interest-in-the-metaverse-is-growing-accenture/,https://venturebeat.com/wp-content/uploads/2022/12/acc-metaverse.jpg?w=1200&strip=all,2023-01-04T13:00:00Z,"Connect with gaming and metaverse leaders online at GamesBeat Summit: Into the Metaverse 3 this February 1-2. Register here.
Consumers and businesses are getting more interested in the metaverse, acâ€¦ [+1477 chars]"
4,4,"{'id': None, 'name': 'VentureBeat'}","Michael Biltz, Accenture Labs, Marc Carrel-Billiard, Accenture",Plan now for the internetâ€™s transformation by the metaverse and Web3,"How Web3 and the metaverse will transform the internet for individuals and companies alike, and what companies should do to prepare now.",https://venturebeat.com/virtual/plan-now-for-the-internets-transformation-by-the-metaverse-and-web3/,https://venturebeat.com/wp-content/uploads/2022/09/GettyImages-1350550965-BlackSalmon.jpg?w=1200&strip=all,2023-01-29T16:20:00Z,"Check out all the on-demand sessions from the Intelligent Security Summit here.
Today, the internet is a disparate collection of sites, apps and platforms. Because they are separate from one anotherâ€¦ [+1635 chars]"
5,5,"{'id': 'the-next-web', 'name': 'The Next Web'}",Thomas Macaulay,EU tech policy predictions: What to expect in 2023,"The European Union has an unusual IT strategy. While the US prioritizes the development of global tech giants, the EU focuses on becoming the sectorâ€™s leading regulator. In 2022, the bloc launched two sweeping sets of stringent new rules: the Digital Markets â€¦",https://thenextweb.com/news/eu-tech-policy-predictions-2023,https://img-cdn.tnwcdn.com/image/tnw?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2022%2F12%2FUntitled-design-3-2.jpg&signature=d2376547395c8d9c9a68c16fb5822189,2022-12-31T10:00:34Z,"The European Union has an unusual IT strategy. While the US prioritizes the development of global tech giants, the EU focuses on becoming the sectors leading regulator.
In 2022, the bloc launched twâ€¦ [+8441 chars]"
6,6,"{'id': None, 'name': 'MarketWatch'}",Jeremy C. Owens,: Tesla is not alone: 18 (and a half) other big stocks are headed for their worst year on record,Meta Platforms and PayPal are also among S&P 1500 stocks with $30 billion market cap or larger that are headed for their biggest percentage declines yet in 2022,https://www.marketwatch.com/story/tesla-is-not-alone-18-and-a-half-other-big-stocks-are-headed-for-their-worst-year-on-record-11672361991,https://images.mktw.net/im-587536/social,2022-12-30T00:59:00Z,"In the worst year for stocks since the Great Recession, several big names are headed for their worst year on record with just one trading day left in 2022.The S&amp;P 500 index 
 SPX,
 +1.75%
and â€¦ [+4511 chars]"
7,7,"{'id': None, 'name': 'Theregister.com'}",Paul Kunert,Corporations start testing Windows 11 in bigger numbers. Good luck,"Accensure and L'Oreal among biz users, yet general adoption still well behind predecessor
Large corporations are starting to run Windows 11 pilot programs in anger, potentially helping to boost adoption of Microsoftâ€™s latest operating system â€“ whose popularitâ€¦",https://www.theregister.com/2023/01/05/corporate_enterprise_windows_11_pilots_/,https://regmedia.co.uk/2021/07/21/chen_new.jpg,2023-01-05T14:00:15Z,"Large corporations are starting to run Windows 11 pilot programs in anger, potentially helping to boost adoption of Microsofts latest operating system whose popularity remains way behind its predecesâ€¦ [+3416 chars]"
8,8,"{'id': None, 'name': 'Techdirt'}",Tim Cushing,Government Continues To Rely On Private Contractors To Bypass Privacy Protections,Thereâ€™s only so much domestic surveillance the government can engage in before it starts running into problems. The Supreme Courtâ€™s Carpenter decision strongly suggested gathering data in bulk to track people might run afoul of the Fourth Amendment. Lower couâ€¦,https://www.techdirt.com/2023/01/05/government-continues-to-rely-on-private-contractors-to-bypass-privacy-protections/,https://www.techdirt.com/wp-content/themes/techdirt/assets/images/td-rect-logo-white.png,2023-01-05T17:18:58Z,"from the ongoing-inconvenience-of-guaranteed-rights dept
Thereâ€™s only so much domestic surveillance the government can engage in before it starts running into problems. The Supreme Courtâ€™s Carpenterâ€¦ [+7355 chars]"
9,9,"{'id': None, 'name': 'Motley Fool'}",newsfeedback@fool.com (Jeremy Bowman),Tired of Volatility? Consider These 2 Tech Stocks,Not every tech stock is struggling with macro headwinds.,https://www.fool.com/investing/2023/01/20/tired-of-volatility-consider-these-2-tech-stocks/,https://g.foolcdn.com/editorial/images/717114/coding-analysis-software-engineer-programming_QPDf8Uq.jpg,2023-01-20T21:00:00Z,"Last year was a wake-up call for tech investors.
After years of enjoying market-beating returns, tech investors saw the NasdaqÂ plunge 33% in 2022, significantly underperforming the S&amp;P 500Â and tâ€¦ [+3882 chars]"
